Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
IND,27,356,356,India,1,37948,36778,39155,37948,5.6,5.2,0.67
ISL,27,352,352,Iceland,1,221,184,266,221,65.6,127.3,8.5
HUN,27,348,348,Hungary,1,6660,5784,7669,6660,68.5,145.5,9.3
HND,27,340,340,Honduras,1,1016,893,1156,1016,28.5,19.9,3.4
HTI,27,332,332,Haiti,1,2908,2535,3337,2908,69.8,50.4,5.8
GUY,27,328,328,Guyana,1,259,18,3760,259,61.9,64.8,6.6
GNB,27,624,624,Guinea-Bissau,1,104,20,554,104,28.8,10.3,3.6
GIN,27,324,324,Guinea,1,749,641,875,749,34.0,11.1,3.7
GTM,27,320,320,Guatemala,1,2696,1850,3929,2696,43.6,29.4,5.0
GUM,27,316,316,Guam,1,54,53,55,54,43.7,62.5,5.1
GRC,27,300,300,Greece,1,7036,6431,7698,7036,51.4,138.9,7.1
GHA,27,288,288,Ghana,1,2395,2190,2619,2395,30.4,14.6,3.6
DEU,27,276,276,Germany,1,65269,61779,68956,65269,54.2,157.2,6.9
GEO,27,268,268,Georgia,1,1090,744,1597,1090,34.6,57.7,4.7
PSE,27,275,275,Gaza Strip and West Bank,1,218,180,263,218,17.5,8.0,2.1
GAB,27,266,266,Gabon,1,152,109,212,152,26.1,12.8,3.3
PYF,27,258,258,French Polynesia,1,121,118,124,121,62.3,84.2,7.3
GUF,27,254,254,French Guyana,1,125,122,128,125,94.1,80.4,11.3
MTQ,27,474,474,"France, Martinique",1,610,558,667,610,134.3,355.2,16.6
REU,27,638,638,"France, La Réunion",1,459,447,472,459,59.6,104.5,7.4
GLP,27,312,312,"France, Guadeloupe",1,660,603,723,660,157.5,358.4,19.0
FRA,27,250,250,France (metropolitan),1,57357,54946,59874,57357,82.3,180.7,10.8
FIN,27,246,246,Finland,1,5930,5749,6116,5930,82.2,216.3,10.1
FJI,27,242,242,Fiji,1,218,21,2273,218,50.2,47.4,6.4
ETH,27,231,231,Ethiopia,1,2317,2155,2491,2317,8.0,3.8,1.0
SWZ,27,748,748,Eswatini,1,101,71,144,101,41.0,17.3,4.0
EST,27,233,233,Estonia,1,1174,1086,1269,1174,98.8,186.9,13.0
ERI,27,232,232,Eritrea,1,112,98,127,112,10.9,6.1,1.3
GNQ,27,226,226,Equatorial Guinea,1,90,65,125,90,31.9,10.8,4.0
SLV,27,222,222,El Salvador,1,1392,539,3596,1392,41.9,45.5,5.1
EGY,27,818,818,Egypt,1,5181,4874,5507,5181,13.5,9.7,1.6
ECU,27,218,218,Ecuador,1,3456,2771,4311,3456,35.0,38.2,3.9
DOM,27,214,214,Dominican Republic,1,4918,4055,5964,4918,86.1,89.1,10.3
DJI,27,262,262,Djibouti,1,41,35,48,41,11.1,7.7,1.4
DNK,27,208,208,Denmark,1,5250,4985,5529,5250,76.7,181.0,9.6
CIV,27,384,384,"Côte d'Ivoire",1,4041,3790,4309,4041,63.8,28.9,8.0
CZE,27,203,203,Czechia,1,7956,7532,8404,7956,70.0,150.4,9.1
CYP,27,196,196,Cyprus,1,691,590,809,691,60.9,113.0,7.5
CUB,27,192,192,Cuba,1,6699,5788,7754,6699,58.1,119.4,7.1
HRV,27,191,191,Croatia,1,3247,2718,3880,3247,69.5,165.7,8.9
CRI,27,188,188,Costa Rica,1,1796,1649,1956,1796,45.6,69.4,5.1
COG,27,178,178,"Congo, Republic of",1,441,366,531,441,42.3,15.2,4.8
COD,27,180,180,"Congo, Democratic Republic of",1,7799,5595,10872,7799,40.1,16.4,4.6
COM,27,174,174,Comoros,1,68,58,80,68,33.2,14.9,3.9
